specimen.tag,species,study,microhabitat,sex,SVL,leg.length,live.mass,pr.mass,pr.leg.muscle.mass,jump.maxvel,jump.maxacc,swim.maxvel,swim.maxacc
DSM-0306,Litoria tornieri,Moen et al. 2013,terrestrial,m,32.22,61.42,2.56,2.078,0.386,3.304202,145.944814,1.834277,40.767987
USNM-341861,Lysapsus limellum,Moen et al. 2016,aquatic,m,17.94,34.39,NA,0.617,0.07,NA,NA,NA,NA
USNM-341867,Lysapsus limellum,Moen et al. 2016,aquatic,m,18.17,38.64,NA,0.556,0.106,NA,NA,NA,NA
USNM-341869,Lysapsus limellum,Moen et al. 2016,aquatic,m,18.08,39.03,NA,0.585,0.118,NA,NA,NA,NA
USNM-341873,Lysapsus limellum,Moen et al. 2016,aquatic,m,18.73,39.58,NA,0.566,0.11,NA,NA,NA,NA
USNM-341875,Lysapsus limellum,Moen et al. 2016,aquatic,m,19.29,39.73,NA,0.649,0.084,NA,NA,NA,NA
MCZ-A120090,Mantella baroni,Moen et al. 2016,terrestrial,m,26.42,39.34,NA,1.296,0.172,NA,NA,NA,NA
MCZ-A120232,Mantidactylus biporus,Moen et al. 2016,aquatic,m,24.97,38.94,NA,1.339,0.198,NA,NA,NA,NA
MCZ-A120233,Mantidactylus biporus,Moen et al. 2016,aquatic,m,26.82,41.93,NA,1.679,0.262,NA,NA,NA,NA
MCZ-A120270,Mantidactylus biporus,Moen et al. 2016,aquatic,m,25.04,39.73,NA,1.386,0.204,NA,NA,NA,NA
MCZ-A23881,Mantidactylus biporus,Moen et al. 2016,aquatic,m,27.63,42.36,NA,2.11,0.298,NA,NA,NA,NA
MCZ-A136211,Mantidactylus grandidieri,Moen et al. 2016,semi-aquatic,m,71.07,116.4,NA,31.085,5.57,NA,NA,NA,NA
MCZ-A119984,Mantidactylus guttulatus,Moen et al. 2016,semi-aquatic,m,107.95,170.94,NA,133.425,28.616,NA,NA,NA,NA
MCZ-A136625,Mantidactylus lugubris,Moen et al. 2016,torrential,m,31.19,55.44,NA,2.721,0.44,NA,NA,NA,NA
USNM-499327,Mantidactylus lugubris,Moen et al. 2016,torrential,m,27.62,52.03,NA,1.632,0.254,NA,NA,NA,NA
USNM-499328,Mantidactylus lugubris,Moen et al. 2016,torrential,m,28.11,54.16,NA,1.862,0.306,NA,NA,NA,NA
USNM-499499,Mantidactylus lugubris,Moen et al. 2016,torrential,m,28.46,50.35,NA,1.828,0.264,NA,NA,NA,NA
USNM-499502,Mantidactylus lugubris,Moen et al. 2016,torrential,m,27.8,52.08,NA,1.753,0.268,NA,NA,NA,NA
MCZ-A120026,Mantidactylus majori,Moen et al. 2016,terrestrial,m,45.01,72.91,NA,4.542,0.904,NA,NA,NA,NA
MCZ-A120070,Mantidactylus majori,Moen et al. 2016,terrestrial,m,42.38,70.2,NA,4.304,0.848,NA,NA,NA,NA
MCZ-A120071,Mantidactylus majori,Moen et al. 2016,terrestrial,m,41.67,67.49,NA,4.125,0.694,NA,NA,NA,NA
MCZ-A120182,Mantidactylus majori,Moen et al. 2016,terrestrial,m,44.29,71.23,NA,5.613,0.988,NA,NA,NA,NA
MCZ-A120183,Mantidactylus majori,Moen et al. 2016,terrestrial,m,43.01,69.01,NA,4.807,0.874,NA,NA,NA,NA
FMNH-139498,Megophrys nasuta,Moen et al. 2016,terrestrial,m,81.78,121.6,NA,39.965,4.276,NA,NA,NA,NA
FMNH-139500,Megophrys nasuta,Moen et al. 2016,terrestrial,m,82.78,127.39,NA,39.615,4.034,NA,NA,NA,NA
FMNH-145827,Megophrys nasuta,Moen et al. 2016,terrestrial,m,93.02,132.4,NA,53.247,5.204,NA,NA,NA,NA
FMNH-145829,Megophrys nasuta,Moen et al. 2016,terrestrial,m,87.03,125.01,NA,39.899,4.724,NA,NA,NA,NA
FMNH-148299,Megophrys nasuta,Moen et al. 2016,terrestrial,m,81.34,107.96,NA,33.926,2.486,NA,NA,NA,NA
FMNH-136213,Meristogenys poecilus,Moen et al. 2016,torrential,m,44.37,97.8,NA,5.839,1.21,NA,NA,NA,NA
FMNH-137418,Meristogenys poecilus,Moen et al. 2016,torrential,m,45.1,104.85,NA,6.487,1.524,NA,NA,NA,NA
FMNH-146798,Meristogenys poecilus,Moen et al. 2016,torrential,m,45.56,105.85,NA,7.111,1.604,NA,NA,NA,NA
FMNH-146805,Meristogenys poecilus,Moen et al. 2016,torrential,m,43.52,103.13,NA,6.718,1.47,NA,NA,NA,NA
FMNH-194827,Meristogenys poecilus,Moen et al. 2016,torrential,m,46.1,107.33,NA,6.928,1.302,NA,NA,NA,NA
FMNH-218331,Micrixalus fuscus,Moen et al. 2016,terrestrial,m,19.11,35.05,NA,0.4478,0.0808,NA,NA,NA,NA
FMNH-218353,Micrixalus fuscus,Moen et al. 2016,terrestrial,m,19.93,38.87,NA,0.5468,0.0864,NA,NA,NA,NA
FMNH-218375,Micrixalus fuscus,Moen et al. 2016,terrestrial,m,19.16,36.06,NA,0.4897,0.0826,NA,NA,NA,NA
FMNH-218379,Micrixalus fuscus,Moen et al. 2016,terrestrial,m,21.3,35.53,NA,0.5477,0.0874,NA,NA,NA,NA
FMNH-218380,Micrixalus fuscus,Moen et al. 2016,terrestrial,m,20.32,33.29,NA,0.5473,0.0784,NA,NA,NA,NA
KIZ-04161,Microhyla fissipes,Moen et al. 2013,terrestrial,m,22.04,36.98,1.05,0.6,0.08,2.760496,116.003027,1.050304,42.621728
KIZ-04163,Microhyla fissipes,Moen et al. 2013,terrestrial,m,23.92,40.73,1.3,0.77,0.12,2.334475,104.563201,1.281408,72.002564
KIZ-04175,Microhyla fissipes,Moen et al. 2013,terrestrial,m,23.78,41.34,1.12,0.75,0.12,1.865758,104.34681,1.122135,34.697246
KIZ-04184,Microhyla fissipes,Moen et al. 2013,terrestrial,m,24.31,43.23,1.43,0.95,0.14,2.895031,110.15621,1.042408,22.928514
KIZ-04194,Microhyla fissipes,Moen et al. 2013,terrestrial,m,24.06,41.34,1.4,0.77,0.08,2.684568,106.080353,1.050037,42.303765
KIZ-04129,Nanorana yunnanensis,Moen et al. 2013,semi-aquatic,f,52,96.42,14.16,11.85,1.98,NA,NA,1.081652,32.642735
KIZ-04138,Nanorana yunnanensis,Moen et al. 2013,semi-aquatic,f,74.94,141.24,53.61,44.8,9.38,2.675381,57.066229,2.034535,46.446486
KIZ-04153,Nanorana yunnanensis,Moen et al. 2013,semi-aquatic,m,93.66,157.03,116.79,104.91,15.24,NA,NA,0.889167,26.572782
FMNH-218206,Nyctibatrachus major,Moen et al. 2016,semi-aquatic,m,49.86,83.93,NA,15.0214,2.7224,NA,NA,NA,NA
FMNH-218212,Nyctibatrachus major,Moen et al. 2016,semi-aquatic,m,46.48,78.94,NA,11.8306,1.9652,NA,NA,NA,NA
FMNH-218226,Nyctibatrachus major,Moen et al. 2016,semi-aquatic,m,48.11,73.98,NA,12.1268,1.9044,NA,NA,NA,NA
FMNH-218232,Nyctibatrachus major,Moen et al. 2016,semi-aquatic,m,44.91,75.02,NA,9.9932,1.8412,NA,NA,NA,NA
FMNH-218239,Nyctibatrachus major,Moen et al. 2016,semi-aquatic,m,47.86,79.18,NA,13.6964,2.3044,NA,NA,NA,NA
FMNH-157596,Occidozyga baluensis,Moen et al. 2016,semi-aquatic,m,23.68,42.17,NA,1.265,0.236,NA,NA,NA,NA
FMNH-157612,Occidozyga baluensis,Moen et al. 2016,semi-aquatic,m,23.46,42.03,NA,1.307,0.24,NA,NA,NA,NA
FMNH-157628,Occidozyga baluensis,Moen et al. 2016,semi-aquatic,m,22.58,39.45,NA,1.218,0.246,NA,NA,NA,NA
FMNH-196768,Occidozyga baluensis,Moen et al. 2016,semi-aquatic,m,20.88,36.99,NA,0.912,0.158,NA,NA,NA,NA
FMNH-196781,Occidozyga baluensis,Moen et al. 2016,semi-aquatic,m,22.15,39.37,NA,1.054,0.2,NA,NA,NA,NA
KIZ-04135,Odorrana grahami,Moen et al. 2013,torrential,m,67.11,138.3,27.72,22.57,5,3.597991,68.527418,1.690762,30.868496
KIZ-04139,Odorrana grahami,Moen et al. 2013,torrential,m,64.49,135.06,27.35,22.51,4.72,3.439996,72.737138,2.283849,48.189887
KIZ-04145,Odorrana grahami,Moen et al. 2013,torrential,m,64.9,139,26.64,21.37,4.3,3.522842,76.136472,2.173253,33.368986
KIZ-04147,Odorrana grahami,Moen et al. 2013,torrential,m,62.5,128.93,25.03,20.89,4.32,3.552311,81.247863,2.275788,57.118443
KIZ-04185,Odorrana grahami,Moen et al. 2013,torrential,f,60.73,122.27,18.35,15.64,2.88,2.808498,75.797203,1.943905,52.204881
KIZ-04204,Odorrana grahami,Moen et al. 2013,torrential,m,67.66,139.66,29.12,24.38,5.24,3.269483,67.65172,1.950811,34.009973
FMNH-139318,Odorrana hosii,Moen et al. 2016,torrential,m,54.23,107.59,NA,9.891,2.14,NA,NA,NA,NA
FMNH-139341,Odorrana hosii,Moen et al. 2016,torrential,m,52.3,106.04,NA,8.171,1.612,NA,NA,NA,NA
FMNH-144461,Odorrana hosii,Moen et al. 2016,torrential,m,53.35,105.1,NA,8.685,1.658,NA,NA,NA,NA
FMNH-144486,Odorrana hosii,Moen et al. 2016,torrential,m,51.98,104.47,NA,8.921,1.794,NA,NA,NA,NA
USNM-342989,Oreobates cruralis,Moen et al. 2016,terrestrial,m,24.95,45.04,NA,0.905,0.136,NA,NA,NA,NA
USNM-342990,Oreobates cruralis,Moen et al. 2016,terrestrial,m,22.53,42.75,NA,0.775,0.118,NA,NA,NA,NA
USNM-342992,Oreobates cruralis,Moen et al. 2016,terrestrial,m,22.67,42.16,NA,0.756,0.134,NA,NA,NA,NA
USNM-343240,Oreobates cruralis,Moen et al. 2016,terrestrial,m,24.2,41.22,NA,0.771,0.144,NA,NA,NA,NA
DSM-0043,Oreobates quixensis,Moen et al. 2013,terrestrial,f,47.62,85.31,12.18333333,8.824,1.242,2.86413,69.233986,1.414072,25.691334
DSM-0126,Oreobates quixensis,Moen et al. 2013,terrestrial,f,43.56,79.79,7.496666667,6.245,1.18,2.875177,93.906871,1.018394,27.24822
DSM-0127,Oreobates quixensis,Moen et al. 2013,terrestrial,m,30.04,55.19,2.4433,1.917,0.332,2.496202,83.161173,1.163705,64.008298
DSM-0192,Oreobates quixensis,Moen et al. 2013,terrestrial,m,36.01,66.3,5.4733,4.707,0.82,2.625157,69.02104,1.09765,36.921096
DSM-0044,Osteocephalus planiceps,Moen et al. 2013,arboreal,m,48.06,82.38,5.025,4.036,0.656,3.550409,112.848779,2.00969,45.067904
DSM-0096,Osteocephalus planiceps,Moen et al. 2013,arboreal,f,73.34,129.23,19.95,16.5,3.278,4.047571,68.693692,1.979006,29.57962
DSM-0099,Osteocephalus planiceps,Moen et al. 2013,arboreal,m,78.19,140.72,21.63333333,18.003,3.596,3.66406,68.681397,1.560293,20.383457
DSM-0117,Osteocephalus planiceps,Moen et al. 2013,arboreal,f,63.81,113.5,10.86,9.888,1.736,3.483915,92.82849,1.494556,29.978773
DSM-0119,Osteocephalus planiceps,Moen et al. 2013,arboreal,f,79.6,136.74,29.47,27.907,4.394,3.350202,56.828803,1.508943,24.931266
DSM-0121,Osteocephalus planiceps,Moen et al. 2013,arboreal,m,65.64,115.61,14.99666667,12.738,2.318,3.575034,105.496339,0.988942,22.180819
USNM-222205,Osteocephalus taurinus,Moen et al. 2016,arboreal,m,75.21,125.01,NA,22.062,2.986,NA,NA,NA,NA
USNM-247614,Osteocephalus taurinus,Moen et al. 2016,arboreal,m,78.74,131.9,NA,25.715,3.224,NA,NA,NA,NA
USNM-342962,Osteocephalus taurinus,Moen et al. 2016,arboreal,m,78.27,132.25,NA,23.116,2.898,NA,NA,NA,NA
USNM-342963,Osteocephalus taurinus,Moen et al. 2016,arboreal,m,78.21,131.82,NA,23.518,2.738,NA,NA,NA,NA
USNM-342964,Osteocephalus taurinus,Moen et al. 2016,arboreal,m,75.47,126.75,NA,19.346,2.278,NA,NA,NA,NA
CM-52103,Pelobates cultripes,Moen et al. 2016,burrowing,NA,84.23,119.1,NA,76.995,6.766,NA,NA,NA,NA
CM-52105,Pelobates cultripes,Moen et al. 2016,burrowing,NA,64.76,92.22,NA,26.161,2.302,NA,NA,NA,NA
CM-52106,Pelobates cultripes,Moen et al. 2016,burrowing,NA,57.96,80.07,NA,14.107,1.27,NA,NA,NA,NA
CM-52643,Pelobates cultripes,Moen et al. 2016,burrowing,NA,88.79,125.95,NA,67.117,7.118,NA,NA,NA,NA
CM-54584,Pelobates cultripes,Moen et al. 2016,burrowing,NA,72.7,93.54,NA,31.563,3.072,NA,NA,NA,NA
CM-52109,Pelodytes ibericus,Moen et al. 2016,terrestrial,m,37.7,57.33,NA,3.669,0.452,NA,NA,NA,NA
CM-52110,Pelodytes ibericus,Moen et al. 2016,terrestrial,m,32.26,50.26,NA,2.153,0.258,NA,NA,NA,NA
CM-52111,Pelodytes ibericus,Moen et al. 2016,terrestrial,m,31.54,51.82,NA,1.964,0.244,NA,NA,NA,NA
CM-52115,Pelodytes ibericus,Moen et al. 2016,terrestrial,m,36.12,54.88,NA,2.732,0.358,NA,NA,NA,NA
CM-54702,Pelodytes ibericus,Moen et al. 2016,terrestrial,m,34.7,54.38,NA,2.168,0.352,NA,NA,NA,NA
CM-51034,Pelophylax perezi,Moen et al. 2016,semi-aquatic,m,64.35,115.65,NA,26.529,4.906,NA,NA,NA,NA
CM-51105,Pelophylax perezi,Moen et al. 2016,semi-aquatic,m,57.89,106.72,NA,14.662,2.728,NA,NA,NA,NA
CM-52491,Pelophylax perezi,Moen et al. 2016,semi-aquatic,m,66.05,127.44,NA,32.723,6.14,NA,NA,NA,NA
CM-53035,Pelophylax perezi,Moen et al. 2016,semi-aquatic,m,50.88,95.33,NA,11.216,4.114,NA,NA,NA,NA
CM-53145,Pelophylax perezi,Moen et al. 2016,semi-aquatic,m,56.71,97.29,NA,20.13,3.09,NA,NA,NA,NA
FMNH-137867,Philautus hosii,Moen et al. 2016,arboreal,m,47.25,88.14,NA,4.699,0.67,NA,NA,NA,NA
FMNH-137872,Philautus hosii,Moen et al. 2016,arboreal,m,45.04,82.51,NA,4.125,0.644,NA,NA,NA,NA
FMNH-137873,Philautus hosii,Moen et al. 2016,arboreal,m,45.92,81.99,NA,4.501,0.616,NA,NA,NA,NA
FMNH-137902,Philautus hosii,Moen et al. 2016,arboreal,m,45.99,89.41,NA,5.13,0.746,NA,NA,NA,NA
FMNH-145608,Philautus hosii,Moen et al. 2016,arboreal,m,45.94,81.62,NA,5.271,0.734,NA,NA,NA,NA
CAS-176949,Phlyctimantis verrucosus,Moen et al. 2016,terrestrial,m,50.52,75.96,NA,8.13,0.96,NA,NA,NA,NA
CAS-176951,Phlyctimantis verrucosus,Moen et al. 2016,terrestrial,m,46.98,71.73,NA,6.568,0.894,NA,NA,NA,NA
CAS-176956,Phlyctimantis verrucosus,Moen et al. 2016,terrestrial,m,46.61,73.54,NA,7.508,0.898,NA,NA,NA,NA
CAS-176960,Phlyctimantis verrucosus,Moen et al. 2016,terrestrial,m,48.04,73.79,NA,7.573,0.764,NA,NA,NA,NA
CAS-176966,Phlyctimantis verrucosus,Moen et al. 2016,terrestrial,m,49.85,73.31,NA,8.288,0.958,NA,NA,NA,NA
CAS-202131,Phrynobatrachus dendrobates,Moen et al. 2016,arboreal,m,25.43,49.47,NA,1.451,0.178,NA,NA,NA,NA
CAS-202232,Phrynobatrachus dendrobates,Moen et al. 2016,arboreal,m,25.22,46.61,NA,1.278,0.126,NA,NA,NA,NA
CAS-202233,Phrynobatrachus dendrobates,Moen et al. 2016,arboreal,m,26.22,52.44,NA,1.502,0.21,NA,NA,NA,NA
CAS-202235,Phrynobatrachus dendrobates,Moen et al. 2016,arboreal,m,26.49,54.97,NA,1.447,0.164,NA,NA,NA,NA
CAS-202236,Phrynobatrachus dendrobates,Moen et al. 2016,arboreal,m,26.91,53.45,NA,1.425,0.194,NA,NA,NA,NA
CAS-180642,Phrynobatrachus versicolor,Moen et al. 2016,terrestrial,m,30.72,54.48,NA,2.637,0.37,NA,NA,NA,NA
CAS-180654,Phrynobatrachus versicolor,Moen et al. 2016,terrestrial,m,30.06,53.88,NA,2.534,0.454,NA,NA,NA,NA
CAS-202119,Phrynobatrachus versicolor,Moen et al. 2016,terrestrial,m,29.89,56.34,NA,2.584,0.452,NA,NA,NA,NA
CAS-202123,Phrynobatrachus versicolor,Moen et al. 2016,terrestrial,m,27.5,51.12,NA,1.94,0.352,NA,NA,NA,NA
CAS-202125,Phrynobatrachus versicolor,Moen et al. 2016,terrestrial,m,27.69,54.17,NA,2.161,0.388,NA,NA,NA,NA
FMNH-137749,Phrynoidis aspera,Moen et al. 2016,terrestrial,m,83.31,138.96,NA,57.3195,8.2386,NA,NA,NA,NA
FMNH-137789,Phrynoidis aspera,Moen et al. 2016,terrestrial,m,74.28,126.53,NA,39.3162,5.6938,NA,NA,NA,NA
FMNH-137836,Phrynoidis aspera,Moen et al. 2016,terrestrial,m,72.29,123.85,NA,35.8088,5.2798,NA,NA,NA,NA
FMNH-144377,Phrynoidis aspera,Moen et al. 2016,terrestrial,m,74.96,125.1,NA,33.8154,4.3892,NA,NA,NA,NA
FMNH-144390,Phrynoidis aspera,Moen et al. 2016,terrestrial,m,80.88,140.71,NA,41.5835,5.9218,NA,NA,NA,NA
USNM-222219,Phyllomedusa palliata,Moen et al. 2016,arboreal,m,38.28,60.26,NA,2.754,0.146,NA,NA,NA,NA
USNM-222220,Phyllomedusa palliata,Moen et al. 2016,arboreal,m,37.27,58.99,NA,2.708,0.146,NA,NA,NA,NA
USNM-222227,Phyllomedusa palliata,Moen et al. 2016,arboreal,m,37.38,59.63,NA,2.61,0.142,NA,NA,NA,NA
USNM-222230,Phyllomedusa palliata,Moen et al. 2016,arboreal,m,38.27,58.79,NA,2.774,0.142,NA,NA,NA,NA
USNM-222234,Phyllomedusa palliata,Moen et al. 2016,arboreal,m,37.52,56.09,NA,2.334,0.114,NA,NA,NA,NA
USNM-343026,Phyllomedusa tomopterna,Moen et al. 2016,arboreal,m,40.13,63.34,NA,2.028,0.118,NA,NA,NA,NA
USNM-343028,Phyllomedusa tomopterna,Moen et al. 2016,arboreal,m,40.18,62.69,NA,1.911,0.108,NA,NA,NA,NA
USNM-343029,Phyllomedusa tomopterna,Moen et al. 2016,arboreal,m,45.93,69.16,NA,3.151,0.158,NA,NA,NA,NA
USNM-343278,Phyllomedusa tomopterna,Moen et al. 2016,arboreal,m,45.27,74.32,NA,3.789,0.206,NA,NA,NA,NA
USNM-343279,Phyllomedusa tomopterna,Moen et al. 2016,arboreal,m,41.64,68.98,NA,3.027,0.182,NA,NA,NA,NA
USNM-243689,Physalaemus cuvieri,Moen et al. 2016,terrestrial,m,27.59,45.4,NA,1.245,0.154,NA,NA,NA,NA
USNM-243691,Physalaemus cuvieri,Moen et al. 2016,terrestrial,m,29.91,46.52,NA,1.288,0.184,NA,NA,NA,NA
USNM-243692,Physalaemus cuvieri,Moen et al. 2016,terrestrial,m,27.96,45.52,NA,1.274,0.176,NA,NA,NA,NA
USNM-243704,Physalaemus cuvieri,Moen et al. 2016,terrestrial,m,28.28,45.64,NA,1.199,0.15,NA,NA,NA,NA
USNM-243710,Physalaemus cuvieri,Moen et al. 2016,terrestrial,m,27.44,43.35,NA,1.801,0.156,NA,NA,NA,NA
USNM-209256,Physalaemus maculiventris,Moen et al. 2016,terrestrial,m,20.33,35.64,NA,0.684,0.048,NA,NA,NA,NA
USNM-209257,Physalaemus maculiventris,Moen et al. 2016,terrestrial,m,22.59,38.91,NA,0.958,0.074,NA,NA,NA,NA
USNM-209267,Physalaemus maculiventris,Moen et al. 2016,terrestrial,m,20.05,36.44,NA,0.88,0.072,NA,NA,NA,NA
USNM-209271,Physalaemus maculiventris,Moen et al. 2016,terrestrial,m,20.8,35.4,NA,0.889,0.076,NA,NA,NA,NA
USNM-209285,Physalaemus maculiventris,Moen et al. 2016,terrestrial,m,21.39,37.77,NA,0.993,0.066,NA,NA,NA,NA
MCZ-A136201,Platypelis tuberifera,Moen et al. 2016,arboreal,m,29.28,43.69,NA,1.279,0.146,NA,NA,NA,NA
DSM-0224,Platyplectrum ornatum,Moen et al. 2013,burrowing,m,35.68,57.68,5.873333333,4.459,0.598,1.988145,75.155959,0.930592,21.676457
DSM-0225,Platyplectrum ornatum,Moen et al. 2013,burrowing,m,35.4,58.16,5.423333333,4.441,0.598,2.041044,74.67931,0.936345,27.765909
DSM-0295,Platyplectrum ornatum,Moen et al. 2013,burrowing,f,29.92,51.24,3.09,2.457,0.378,2.521131,98.558947,0.874604,25.291764
DSM-0296,Platyplectrum ornatum,Moen et al. 2013,burrowing,f,30.29,49.52,3.09,2.21,0.324,2.121394,58.648226,0.934892,32.595792
DSM-0297,Platyplectrum ornatum,Moen et al. 2013,burrowing,f,26.27,40.47,1.88,1.359,0.204,1.929136,92.438996,1.081422,51.472705
DSM-0300,Platyplectrum ornatum,Moen et al. 2013,burrowing,m,27.75,44.16,2.353333333,1.507,0.196,2.14263,89.613547,0.775739,15.545294
KU-190247,Plectrohyla quecchi,Moen et al. 2016,torrential,m,39.83,71.81,NA,4.811,0.5,NA,NA,NA,NA
KU-190248,Plectrohyla quecchi,Moen et al. 2016,torrential,m,34.74,64.53,NA,4.164,0.376,NA,NA,NA,NA
KU-190249,Plectrohyla quecchi,Moen et al. 2016,torrential,m,35.28,62.09,NA,3.962,0.288,NA,NA,NA,NA
KU-190255,Plectrohyla quecchi,Moen et al. 2016,torrential,m,38.15,68.53,NA,4.247,0.434,NA,NA,NA,NA
KU-190256,Plectrohyla quecchi,Moen et al. 2016,torrential,m,38.99,68.17,NA,3.742,0.324,NA,NA,NA,NA
MCZ-A136262,Plethodontohyla notosticta,Moen et al. 2016,arboreal,m,37.23,53.51,NA,3.445,0.382,NA,NA,NA,NA
FMNH-137884,Polypedates macrotis,Moen et al. 2016,arboreal,m,61.22,105.02,NA,9.017,1.488,NA,NA,NA,NA
FMNH-137936,Polypedates macrotis,Moen et al. 2016,arboreal,m,55.91,100.83,NA,7.68,1.212,NA,NA,NA,NA
FMNH-137937,Polypedates macrotis,Moen et al. 2016,arboreal,m,56.9,106.03,NA,8.658,1.426,NA,NA,NA,NA
FMNH-139370,Polypedates macrotis,Moen et al. 2016,arboreal,m,56.55,104.42,NA,9.323,1.392,NA,NA,NA,NA
FMNH-139371,Polypedates macrotis,Moen et al. 2016,arboreal,m,61.34,110.32,NA,10.335,1.386,NA,NA,NA,NA
USNM-247304,Pristimantis fenestratus,Moen et al. 2016,arboreal,m,30.63,57.41,NA,1.904,0.276,NA,NA,NA,NA
USNM-247631,Pristimantis fenestratus,Moen et al. 2016,arboreal,m,26.29,50.52,NA,1.084,0.148,NA,NA,NA,NA
USNM-298796,Pristimantis fenestratus,Moen et al. 2016,arboreal,m,33.7,58.8,NA,1.744,0.246,NA,NA,NA,NA
USNM-298875,Pristimantis fenestratus,Moen et al. 2016,arboreal,m,30.78,54.56,NA,1.683,0.258,NA,NA,NA,NA
USNM-247305,Pristimantis reichlei,Moen et al. 2016,arboreal,m,24.83,49.07,NA,0.944,0.162,NA,NA,NA,NA
USNM-247306,Pristimantis reichlei,Moen et al. 2016,arboreal,m,24.65,49.16,NA,1.196,0.162,NA,NA,NA,NA
USNM-268950,Pristimantis reichlei,Moen et al. 2016,arboreal,m,27.32,52.01,NA,1.146,0.178,NA,NA,NA,NA
USNM-268952,Pristimantis reichlei,Moen et al. 2016,arboreal,m,26.14,55.83,NA,1.24,0.19,NA,NA,NA,NA
USNM-268953,Pristimantis reichlei,Moen et al. 2016,arboreal,m,27.66,57.29,NA,1.371,0.188,NA,NA,NA,NA
USNM-209306,Proceratophrys melanopogon,Moen et al. 2016,terrestrial,m,23.84,32.11,NA,1.429,0.042,NA,NA,NA,NA
USNM-209310,Proceratophrys melanopogon,Moen et al. 2016,terrestrial,m,22.89,31.03,NA,1.071,0.034,NA,NA,NA,NA
USNM-209313,Proceratophrys melanopogon,Moen et al. 2016,terrestrial,m,22.5,30.54,NA,1.243,0.04,NA,NA,NA,NA
USNM-209314,Proceratophrys melanopogon,Moen et al. 2016,terrestrial,m,26.61,34.34,NA,1.51,0.042,NA,NA,NA,NA
USNM-209315,Proceratophrys melanopogon,Moen et al. 2016,terrestrial,m,24.89,34.48,NA,1.64,0.056,NA,NA,NA,NA
USNM-534400,Pseudacris brimleyi,Moen et al. 2016,terrestrial,m,26.13,42.04,NA,1.217,0.1,NA,NA,NA,NA
USNM-534406,Pseudacris brimleyi,Moen et al. 2016,terrestrial,m,29.19,45.77,NA,1.818,0.178,NA,NA,NA,NA
USNM-534429,Pseudacris brimleyi,Moen et al. 2016,terrestrial,m,28.27,45.02,NA,1.703,0.13,NA,NA,NA,NA
USNM-534431,Pseudacris brimleyi,Moen et al. 2016,terrestrial,m,26.82,41.49,NA,1.281,0.116,NA,NA,NA,NA
USNM-534435,Pseudacris brimleyi,Moen et al. 2016,terrestrial,m,27.6,40.74,NA,1.504,0.12,NA,NA,NA,NA
USNM-534844,Pseudacris crucifer,Moen et al. 2016,arboreal,m,27.67,44.11,NA,1.682,0.164,NA,NA,NA,NA
USNM-534847,Pseudacris crucifer,Moen et al. 2016,arboreal,m,28.66,41.88,NA,1.745,0.134,NA,NA,NA,NA
USNM-534853,Pseudacris crucifer,Moen et al. 2016,arboreal,m,29.43,43.37,NA,1.99,0.188,NA,NA,NA,NA
USNM-534855,Pseudacris crucifer,Moen et al. 2016,arboreal,m,28.77,40.49,NA,1.893,0.166,NA,NA,NA,NA
USNM-534861,Pseudacris crucifer,Moen et al. 2016,arboreal,m,27.73,40.18,NA,1.727,0.136,NA,NA,NA,NA
USNM-98175,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,39.73,81.07,NA,7.182,1.566,NA,NA,NA,NA
USNM-98179,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,41.61,87.87,NA,11.163,2.568,NA,NA,NA,NA
USNM-98190,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,40.68,80.51,NA,7.66,1.84,NA,NA,NA,NA
USNM-98191,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,39.45,79.41,NA,6.595,1.446,NA,NA,NA,NA
USNM-98202,Pseudis bolbodactyla,Moen et al. 2016,aquatic,m,40.65,85.75,NA,8.972,1.984,NA,NA,NA,NA
USNM-302984,Pseudis paradoxa,Moen et al. 2016,aquatic,m,46.65,101.12,NA,16.324,3.004,NA,NA,NA,NA
USNM-302985,Pseudis paradoxa,Moen et al. 2016,aquatic,m,57.08,121.65,NA,32.357,6.004,NA,NA,NA,NA
USNM-302986,Pseudis paradoxa,Moen et al. 2016,aquatic,m,52.06,104.76,NA,24.066,4.396,NA,NA,NA,NA
USNM-302987,Pseudis paradoxa,Moen et al. 2016,aquatic,m,48.42,97.49,NA,18.573,3.512,NA,NA,NA,NA
USNM-341878,Pseudis paradoxa,Moen et al. 2016,aquatic,m,50.32,92.43,NA,15.858,3.072,NA,NA,NA,NA
FMNH-218111,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,19.81,32.67,NA,0.4384,0.0296,NA,NA,NA,NA
FMNH-218112,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,20.62,34.15,NA,0.4617,0.0354,NA,NA,NA,NA
FMNH-218113,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,22.54,33.8,NA,0.5346,0.0384,NA,NA,NA,NA
FMNH-218115,Pseudophilautus femoralis,Moen et al. 2016,arboreal,m,23.38,36.05,NA,0.6235,0.0476,NA,NA,NA,NA
FMNH-218116,Pseudophilautus femoralis,Moen et al. 2016,arboreal,f,23.17,37.04,NA,0.7988,0.052,NA,NA,NA,NA
